# id	left	top	right	bottom	texture_id
[SPRITES]
10000000	67	0	82	15	40
10000001	324	5	451	68	40
10000002	477	11	604	74	40
10000003	605	27	668	74	40
10000004	672	16	767	143	40
10000005	848	0	1185	417	40
10000006	0	176	31	199	40
10000007	0	208	47	231	40
10000008	0	240	63	263	40

10000009	1185	0	1702	207	40
[TILES]
10000000	175	407
10000000	191	407
10000000	207	407
10000000	687	391
10000000	703	391
10000000	719	391
10000000	735	391
10000000	751	391
10000000	767	391
10000000	1055	391
10000000	1071	391
10000000	1199	407
10000000	1215	407
10000000	1231	407
10000000	1742	407
10000000	1758	407
10000000	1774	407

10000001	94	390

10000002	888	367

10000003	984	375
10000003	1928	391

10000004	2423	351

10000005	2655	208

10000006	351	268
10000006	671	284
10000006	1199	284
10000006	2351	300

10000007	151	284

10000008	767	316
10000008	1695	284

10000009	258	103


