# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
01000	1029	93	1042	120	0
01010	1	93	14	120	0

#WALKING RIGHT
01100	1009	93	1024	120	0
01101	991	93	1006	120	0

#WALKING LEFT
01110	19	93	34	120	0
01111	37	93	52	120	0

#RUNNING RIGHT FULL
01300	934	132	955	159	0
01301	908	132	929	159	0
01302	883	132	904	159	0

#RUNNING LEFT FULL
01310	799	132	820	159	0
01311	825	132	846	159	0
01312 	850	132	871	159	0

#JUMP UP RIGHT & LEFT
1400	955	93	972	120	0
1410	73	93	90	120	0

#JUMP DOWN RIGHT & LEFT
1500	991	93	1008	120	0
1510	37	93	54	120	0

#JUMP FULL RIGHT & LEFT
1600	991	93	1008	120	0
1610	37	93	54	120	0
#SIT RIGHT & LEFT 
1700	975	102	990	119	0
1710	54	102	69	119	0

#BRACE RIGHT & LEFT 
1800	833	92	850	119	0
1810	195	92	212	119	0

#HOLD IDLE 
1900	779	93	794	120	0
1910	249	93	264	120	0

#RUN HOLD
1901	761	93	776	120	0
1902	743	93	758	120	0

1911	267	93	282	120	0
1912	285	93	300	120	0

#KICK
1903	717	93	738	120	0
1913	306	93	327	120	0
#DIE
3000	307	16	326	33	0

############ SMALL ################
 #IDLE
0	1029	17	1042	32	0
10	3	17	16	32	0

#WALK RIGHT
100	955	16	972	31	0
101	1009	16	1024	31	0

#WALK LEFT
110	73	16	90	31	0
111	20	16	35	31	0

#RUN FULL RIGHT
300	275	0	290	15	0
301	306	0	321	15	0
302	335	0	350	15	0

#RUN FULL LEFT
310	155	0	170	15	0
311	125	0	140	15	0
312	95	0	110	15	0

#BRACE RIGHT & LEFT
800	110	16	123	31	0
810	920	16	933	31	0

#JUMP RIGHT & LEFT 
400	991	16	1006	31	0
410	37	16	52	31	0

#JUMP FULL RIGHT & LEFT 
600	937	16	952	31	0
610	91	16	106	31	0
#HOLD RUN RIGHT
900	885	16	898	31	0
901	866	16	881	31	0
#HOLD RUN LEFT
910	145	16	158	31	0
911	162	16	177	31	0
#KICK KOOPA
903	847	16	862	31	0
913	181	16	196	31	0
############ RACOON ################
#IDLE
2000	4	244	29	273	0
2010	4	212	29	241	0
#IDLE HOLD
2900	390	180	415	209	0
2910	5	180	30 	209	0
#RUN HOLD
2901	333	180	360	209	0
2902	273	180	300	209	0
2911	60	180	87	209	0
2912	120	180	147	209	0
#KICK
2903	218	180	245	209	0
2913	175	180	202	209	0
#WALKING RIGHT
2100	58	244	85	273	0
2101 	119	244	148	273	0 

#WALKING LEFT
2110	58	212	85	241 	0
2111	118	212	147	241	0

#RUNNING RIGHT FULL
2300	407	244	438	273	0
2301	465	244	496	273	0
2302	522	244	553	273	0

#RUNNING LEFT FULL
2310	408	212	439	241	0
2311	464	212	495	241	0
2312 	521	212	552	241	0

#JUMP RIGHT & LEFT
2400	233	243	262	272	0
2410	235	212	264	241	0


#FALL RIGHT & LEFT
2500	294	243	323	272	0
2510	292	212	321	241	0

#JUMP FULL RIGHT & LEFT
2600	577	244	608	273	0
2610	576	212	607	241	0

#FALL FULL RIGHT & LEFT
2601	706	244	737	273	0
2611	704	212	735	241	0

